iteration,sample_index,status,num_qubits,shots,E_qpu,syntax_validity,js_alignment,ev_score,opt_progress,final_reward
1,0,skipped_too_many_qubits,16,0,,1.000000,0.000000,0.000000,0.000000,0.150000
2,1,skipped_too_many_qubits,10,0,,1.000000,0.000000,0.000000,0.000000,0.150000
3,2,skipped_too_many_qubits,8,0,,1.000000,0.400000,0.000000,0.000000,0.230000
4,3,skipped_too_many_qubits,13,0,,1.000000,0.000000,0.000000,0.000000,0.150000
5,4,skipped_too_many_qubits,8,0,,1.000000,0.400000,0.000000,0.000000,0.230000
6,5,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
7,6,submitted_ok,3,1000,1.365000,1.000000,1.000000,0.545000,0.475070,0.686768
8,7,skipped_too_many_qubits,11,0,,1.000000,0.000000,0.000000,0.000000,0.150000
9,8,submitted_ok,3,1000,0.082000,1.000000,1.000000,0.972667,0.582970,0.884809
10,9,skipped_too_many_qubits,7,0,,1.000000,0.600000,0.000000,0.000000,0.270000
11,10,skipped_too_many_qubits,6,0,,1.000000,0.800000,0.000000,0.000000,0.310000
12,11,skipped_too_many_qubits,8,0,,1.000000,0.400000,0.000000,0.000000,0.230000
13,12,skipped_too_many_qubits,15,0,,1.000000,0.000000,0.000000,0.000000,0.150000
14,13,skipped_too_many_qubits,10,0,,1.000000,0.000000,0.000000,0.000000,0.150000
15,14,skipped_too_many_qubits,10,0,,1.000000,0.000000,0.000000,0.000000,0.150000
16,15,skipped_too_many_qubits,7,0,,1.000000,0.600000,0.000000,0.000000,0.270000
17,16,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
18,17,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
19,18,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
20,19,skipped_too_many_qubits,11,0,,1.000000,0.000000,0.000000,0.000000,0.150000
21,20,skipped_too_many_qubits,11,0,,1.000000,0.000000,0.000000,0.000000,0.150000
22,21,skipped_too_many_qubits,8,0,,1.000000,0.400000,0.000000,0.000000,0.230000
23,22,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
24,23,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
25,24,skipped_too_many_qubits,6,0,,1.000000,0.800000,0.000000,0.000000,0.310000
26,25,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
27,26,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
28,27,skipped_too_many_qubits,12,0,,1.000000,0.000000,0.000000,0.000000,0.150000
29,28,skipped_too_many_qubits,10,0,,1.000000,0.000000,0.000000,0.000000,0.150000
30,29,skipped_too_many_qubits,9,0,,1.000000,0.200000,0.000000,0.000000,0.190000
