iter,prompt_id,R_total,R_syn,s2_JS,s3_EV,R_opt,parsed_ok,js_ok,ev_ok,opt_ran,run_id,method
0,p000,0.23229284931486083,1.0,0.19129246635198122,0.0,,True,False,False,False,run_0,Vista
1,p000,0.27670656629477786,1.0,0.30339849509474254,0.0,,True,False,False,False,run_0,Vista
2,p000,0.48095136033623775,1.0,0.5108288689376697,0.4625738734521123,,True,True,False,False,run_0,Vista
3,p000,0.5187134822204402,1.0,0.5474841505285292,0.4998415909746444,,True,True,False,False,run_0,Vista
4,p000,0.0,-1.0,0.0,0.0,,False,False,False,False,run_0,Vista
5,p000,0.8079396489242426,1.0,0.625156072467776,0.705784282105259,0.7568208032300935,True,True,True,True,run_0,Vista
6,p000,0.7808279949983741,1.0,0.6000256511038723,0.7932625886661272,0.8068906141304212,True,True,True,True,run_0,Vista
7,p000,0.9095244119055328,1.0,0.7898091018262714,0.9160264635317245,0.9428087458131563,True,True,True,True,run_0,Vista
0,p001,0.2689639224070225,1.0,0.3196997447460934,0.0,,True,False,False,False,run_0,Vista
1,p001,0.26743508530593124,1.0,0.3714429853221874,0.0,,True,False,False,False,run_0,Vista
2,p001,0.5043658755419839,1.0,0.5638276635888911,0.39533081672248704,,True,True,False,False,run_0,Vista
3,p001,0.6744406780897045,1.0,0.5221735244075997,0.5863596910395479,0.6379301496764258,True,True,True,True,run_0,Vista
4,p001,0.4983201348039614,1.0,0.5453673627054023,0.4984348053697731,,True,True,False,False,run_0,Vista
5,p001,0.8058400758674867,1.0,0.6259671596396273,0.7721392704202309,0.7752634411376723,True,True,True,True,run_0,Vista
6,p001,0.7960027234877177,1.0,0.6420356746338578,0.7546105475925562,0.7209894927692791,True,True,True,True,run_0,Vista
7,p001,0.9155277779308708,1.0,0.8039504891511396,0.9484307475144967,0.9441222748779061,True,True,True,True,run_0,Vista
0,p002,0.22885949588879553,1.0,0.15671994558320843,0.0,,True,False,False,False,run_0,Vista
1,p002,0.2755923483522486,1.0,0.39395600122250757,0.0,,True,False,False,False,run_0,Vista
2,p002,0.2523794283035814,1.0,0.3505281556947968,0.0,,True,False,False,False,run_0,Vista
3,p002,0.26505203754617557,1.0,0.29365804029434045,0.0,,True,False,False,False,run_0,Vista
4,p002,0.2754340262141901,1.0,0.3623787569557887,0.0,,True,False,False,False,run_0,Vista
5,p002,0.7409434297364016,1.0,0.5256194546032935,0.7266297205854022,0.6292463298755662,True,True,True,True,run_0,Vista
6,p002,0.7629862096058185,1.0,0.6579046002948845,0.7267428101284646,0.6771037598322722,True,True,True,True,run_0,Vista
7,p002,0.7726110692557633,1.0,0.5854678247525295,0.8024400708888032,0.745044163906877,True,True,True,True,run_0,Vista
0,p003,0.22847378067106483,1.0,0.26190442434493694,0.0,,True,False,False,False,run_0,Vista
1,p003,0.23690030707048693,1.0,0.24964693760807477,0.0,,True,False,False,False,run_0,Vista
2,p003,0.2976736168246796,1.0,0.43973079431387446,0.0,,True,False,False,False,run_0,Vista
3,p003,0.24724376868953252,1.0,0.2962201945355464,0.0,,True,False,False,False,run_0,Vista
4,p003,0.3224488775453992,1.0,0.47329061560254665,0.0,,True,False,False,False,run_0,Vista
5,p003,0.2849551306662596,1.0,0.46052844754489597,0.0,,True,False,False,False,run_0,Vista
6,p003,0.5980260462371807,1.0,0.6647088488452821,0.5939663771618745,,True,True,True,False,run_0,Vista
7,p003,0.77337202856236,1.0,0.6423365711554232,0.781047741549341,0.7416330374911175,True,True,True,True,run_0,Vista
0,p004,0.005931729619320715,-1.0,0.0,0.0,,False,False,False,False,run_0,Vista
1,p004,0.2718311352426721,1.0,0.2669533138397639,0.0,,True,False,False,False,run_0,Vista
2,p004,0.2503108238532065,1.0,0.36402136183103884,0.0,,True,False,False,False,run_0,Vista
3,p004,0.4577440735361575,1.0,0.5195258596901146,0.3760908285193859,,True,True,False,False,run_0,Vista
4,p004,0.4930895510449073,1.0,0.55022961007141,0.3936219928868167,,True,True,False,False,run_0,Vista
